address,price,beds,baths,area,zpid,statusType,statusText
"2145 Sunset Crest Dr, Los Angeles, CA 90046",3198000,3,3.0,2341,20800737,FOR_SALE,House for sale
"2215 Arbutus St, Newport Beach, CA 92660",3795000,5,4.0,2620,25477658,FOR_SALE,House for sale
"16584 Silktree St, Fountain Valley, CA 92708",1449000,4,3.0,2100,25257153,FOR_SALE,House for sale
"7062 Hawthorn Ave APT 101, Los Angeles, CA 90028",724999,2,2.0,1220,82830372,FOR_SALE,Condo for sale
"5260 Palm Dr, La Canada Flintridge, CA 91011",1798000,3,3.0,1873,20923719,FOR_SALE,House for sale
"19126 Avenue Of The Oaks UNIT C, Santa Clarita, CA 91321",325000,2,1.0,806,20230052,FOR_SALE,House for sale
"3662 Sandpiper Way, Brea, CA 92823",1250000,5,3.0,2830,54969711,FOR_SALE,House for sale
"14500 Van Nuys Blvd UNIT 33, Panorama City, CA 91402",589000,3,3.0,1402,20128242,FOR_SALE,Townhouse for sale
"827 W Orangewood Ave, Anaheim, CA 92802",735000,3,2.0,1214,25322210,FOR_SALE,House for sale
"27823 Sunrise Ln, Santa Clarita, CA 91351",305000,3,2.0,1482,136710146,FOR_SALE,House for sale
"155 Pasadena Ave, Tustin, CA 92780",449000,3,2.0,1228,25449361,FOR_SALE,House for sale
"12987 Sproule Ave, Sylmar, CA 91342",765000,3,2.0,1259,20072864,FOR_SALE,House for sale
"13555 Magnolia Ave, Chino, CA 91710",699990,3,3.0,1635,17548995,FOR_SALE,House for sale
"2556 Valencia St, Santa Ana, CA 92706",1349000,3,2.0,1641,25090925,FOR_SALE,House for sale
"7653 Corto Rd, Anaheim Hills, CA 92808",5998999,6,7.0,5838,456973382,FOR_SALE,New construction
"13691 Gavina Ave UNIT 574, Sylmar, CA 91342",359900,3,2.0,1652,136709683,FOR_SALE,Home for sale
"16820 McCormick St, Encino, CA 91436",1695000,3,3.0,2254,19980419,FOR_SALE,House for sale
"3294 Bennett Dr, Los Angeles, CA 90068",1195000,3,2.0,1476,20045800,FOR_SALE,House for sale
"6534 Kentwood Bluffs Dr, Los Angeles, CA 90045",2995000,5,4.0,3340,20435094,FOR_SALE,House for sale
"566 N Century Dr, Anaheim, CA 92805",749000,3,3.0,1825,25160208,FOR_SALE,House for sale
"501 N Olive Ave, Alhambra, CA 91801",998000,3,2.0,1525,20706887,FOR_SALE,House for sale
"3361 N Bellflower Blvd, Long Beach, CA 90808",949000,3,2.0,1428,21189472,FOR_SALE,House for sale
"939 S Broadway UNIT 203, Los Angeles, CA 90015",499000,1,1.0,660,2065647847,FOR_SALE,Condo for sale
"8688 Cranford Ave, Sun Valley, CA 91352",799000,3,2.0,1264,20122830,FOR_SALE,House for sale
"1200 Bel Air Rd, Los Angeles, CA 90077",108888888,12,17.0,,20529664,FOR_SALE,House for sale
"7350 E Calle Durango, Anaheim, CA 92808",888888,4,3.0,2304,25408560,FOR_SALE,Auction
"7661 Curson Ter, Los Angeles, CA 90046",125000000,7,12.0,22000,20795042,FOR_SALE,New construction
"3449 E Calle Baja Dr, West Covina, CA 91792",1099000,5,4.0,2582,21678937,FOR_SALE,House for sale
"6962 Wildlife Rd, Malibu, CA 90265",110000000,5,11.0,7083,20555493,FOR_SALE,House for sale
"607 Siena Way, Los Angeles, CA 90077",177000000,8,25.0,35000,447566500,FOR_SALE,House for sale
"23601 Marsala, Laguna Hills, CA 92653",1050000,3,2.0,1120,25534789,FOR_SALE,House for sale
"2154 W Niobe Ave, Anaheim, CA 92804",849900,3,2.0,1393,25223685,FOR_SALE,House for sale
"894-894B S Pasadena Ave, Pasadena, CA 91105",750000,4,2.0,1779,457071224,FOR_SALE,House for sale
"11824 Ellice St, Malibu, CA 90265",44000000,10,20.0,30000,96087448,FOR_SALE,House for sale
"11 N San Gabriel Canyon Rd, Azusa, CA 91702",199000,2,1.0,980,2096217444,FOR_SALE,House for sale
"2227 Century Hl, Los Angeles, CA 90067",1599000,2,3.0,2598,20510484,FOR_SALE,Townhouse for sale
"20161 Canyon View Dr, Santa Clarita, CA 91351",345000,3,2.0,1752,136710454,FOR_SALE,House for sale
"242 Mountain Ct, Brea, CA 92821",700000,3,2.0,1122,25367701,FOR_SALE,House for sale
"205 E 64th St, Los Angeles, CA 90003",579999,3,2.0,1500,20930284,FOR_SALE,House for sale
"1022 Creekside Dr #198, Fullerton, CA 92833",870000,3,3.0,1372,25725430,FOR_SALE,Townhouse for sale
"961 Hudspeth St, Simi Valley, CA 93065",750000,4,2.0,1632,443979290,FOR_SALE,House for sale
